SITE,DATE,HORA,PM10
Bolivia,29/08/2013,4,71
Bolivia,29/08/2013,5,72
Bolivia,29/08/2013,6,72
Bolivia,29/08/2013,7,72
Bolivia,29/08/2013,8,71
Bolivia,29/08/2013,9,70
Bolivia,29/08/2013,10,70
Bolivia,29/08/2013,11,69
Bolivia,29/08/2013,12,69
Bolivia,29/08/2013,13,68
Bolivia,29/08/2013,14,68
Bolivia,29/08/2013,15,68
Bolivia,29/08/2013,16,67
Bolivia,29/08/2013,17,67
Bolivia,29/08/2013,18,66
Bolivia,29/08/2013,19,65
Bolivia,29/08/2013,20,64
Bolivia,29/08/2013,21,63
Bolivia,29/08/2013,22,63
Bolivia,29/08/2013,23,62
Bolivia,29/08/2013,24,61
Bolivia,30/08/2013,1,62
Bolivia,30/08/2013,2,62
Bolivia,30/08/2013,3,63
Bolivia,30/08/2013,4,63
Bolivia,30/08/2013,5,62
Bolivia,30/08/2013,6,62
Bolivia,30/08/2013,7,62
Bolivia,30/08/2013,8,64
Bolivia,30/08/2013,9,65
Bolivia,30/08/2013,10,67
Bolivia,30/08/2013,11,68
Bolivia,30/08/2013,12,69
Bolivia,30/08/2013,13,70
Bolivia,30/08/2013,14,70
Bolivia,30/08/2013,15,70
Bolivia,30/08/2013,16,70
Bolivia,30/08/2013,17,70
Bolivia,30/08/2013,18,70
Bolivia,30/08/2013,19,70
Bolivia,30/08/2013,20,71
Bolivia,30/08/2013,21,71
Bolivia,30/08/2013,22,70
Bolivia,30/08/2013,23,70
Bolivia,30/08/2013,24,70
Bolivia,31/08/2013,1,69
Bolivia,31/08/2013,2,69
Bolivia,31/08/2013,3,68
Bolivia,31/08/2013,4,68
Bolivia,31/08/2013,5,67
Bolivia,31/08/2013,6,67
Bolivia,31/08/2013,7,66
Bolivia,31/08/2013,8,66
Bolivia,31/08/2013,9,66
Bolivia,31/08/2013,10,66
Bolivia,31/08/2013,11,66
Bolivia,31/08/2013,12,65
Bolivia,31/08/2013,13,66
Bolivia,31/08/2013,14,76
Bolivia,31/08/2013,15,78
Bolivia,31/08/2013,16,0
Bolivia,31/08/2013,17,0
Bolivia,31/08/2013,18,0
Bolivia,31/08/2013,19,0
Bolivia,31/08/2013,20,0
Bolivia,31/08/2013,21,0
Bolivia,31/08/2013,22,0
Bolivia,31/08/2013,23,0
Bolivia,31/08/2013,24,0
Bolivia,1/09/2013,1,0
Bolivia,1/09/2013,2,0
Bolivia,1/09/2013,3,0
Bolivia,1/09/2013,4,0
Bolivia,1/09/2013,5,0
Bolivia,1/09/2013,6,0
Bolivia,1/09/2013,7,0
Bolivia,1/09/2013,8,0
Bolivia,1/09/2013,9,0
Bolivia,1/09/2013,10,0
Bolivia,1/09/2013,11,48
Bolivia,1/09/2013,12,47
Bolivia,1/09/2013,13,46
Bolivia,1/09/2013,14,45
Bolivia,1/09/2013,15,45
Bolivia,1/09/2013,16,0
Bolivia,1/09/2013,17,0
Bolivia,1/09/2013,18,0
Bolivia,1/09/2013,19,0
Bolivia,1/09/2013,20,0
Bolivia,1/09/2013,21,0
Bolivia,1/09/2013,22,0
Bolivia,1/09/2013,23,0
Bolivia,1/09/2013,24,0
Bolivia,2/09/2013,1,0
Bolivia,2/09/2013,2,0
Bolivia,2/09/2013,3,0
Bolivia,2/09/2013,4,0
Bolivia,2/09/2013,5,0
Bolivia,2/09/2013,6,0
Bolivia,2/09/2013,7,0
Bolivia,2/09/2013,8,0
Bolivia,2/09/2013,9,0
Bolivia,2/09/2013,10,0
Bolivia,2/09/2013,11,0
Bolivia,2/09/2013,12,0
Bolivia,2/09/2013,13,0
Bolivia,2/09/2013,14,0
Bolivia,2/09/2013,15,0
Bolivia,2/09/2013,16,0
Bolivia,2/09/2013,17,45
Bolivia,2/09/2013,18,45
Bolivia,2/09/2013,19,49
Bolivia,2/09/2013,20,48
Bolivia,2/09/2013,21,34
Bolivia,2/09/2013,22,35
Bolivia,2/09/2013,23,36
Bolivia,2/09/2013,24,38
Bolivia,3/09/2013,1,40
Bolivia,3/09/2013,2,40
Bolivia,3/09/2013,3,40
Bolivia,3/09/2013,4,41
Bolivia,3/09/2013,5,42
Bolivia,3/09/2013,6,43
Bolivia,3/09/2013,7,44
Bolivia,3/09/2013,8,44
Bolivia,3/09/2013,9,45
Bolivia,3/09/2013,10,46
Bolivia,3/09/2013,11,46
Bolivia,3/09/2013,12,47
Bolivia,3/09/2013,13,47
Bolivia,3/09/2013,14,47
Bolivia,3/09/2013,15,47
Bolivia,3/09/2013,16,47
Bolivia,3/09/2013,17,47
Bolivia,3/09/2013,18,46
Bolivia,3/09/2013,19,45
Bolivia,3/09/2013,20,45
Bolivia,3/09/2013,21,45
Bolivia,3/09/2013,22,44
Bolivia,3/09/2013,23,43
Bolivia,3/09/2013,24,41
Bolivia,4/09/2013,1,40
Bolivia,4/09/2013,2,41
Bolivia,4/09/2013,3,42
